id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
11443;Dörfles-Esbach;dorfles-esbach;8022805;;50.282753;10.997753;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001484;t;;f;;f;;f;;f;;f;8001484;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11443;
11444;Donaueschingen Mitte/Siedlung;donaueschingen-mitte-siedlung;8080295;;47.952542;8.488954;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001485;t;;f;;f;;f;;f;;f;8001485;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11444;
11445;Dörpen;dorpen;8021083;;52.970564;7.354506;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001486;t;;f;;f;;f;;f;;f;8001486;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Дёрпен;;;德尔彭;urn:trainline:public:nloc:csv11445;
11446;Dörverden;dorverden;8013738;;52.846405;9.246331;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001489;t;;f;;f;;f;;f;;f;8001489;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;デルフェルデン;;;;Дёрферден;;;德尔费尔登;urn:trainline:public:nloc:csv11446;
11447;Dogern;dogern;8014472;;47.608885;8.167356;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001491;t;;f;;f;;f;;f;;f;8001491;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Догерн;;;多格尔恩;urn:trainline:public:nloc:csv11447;
11448;Dollern;dollern;8001191;;53.545415;9.55823;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001493;t;;f;;f;;f;;f;;f;8001493;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11448;
11449;Dollnstein;dollnstein;8020372;;48.871429;11.079007;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001495;t;;f;;f;;f;;f;;f;8001495;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Дольнштайн;;;多尔恩斯泰因;urn:trainline:public:nloc:csv11449;
11450;Dorfen Bahnhof;dorfen-bahnhof;8020051;;48.267048;12.15969;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001499;t;;f;;f;;f;;f;;f;8001499;f;;f;;f;;;;f;;f;;f;;f;DEDOF;f;;f;f;;;;;;;;;;;;;;;;Дорфен;;;多尔芬;urn:trainline:public:nloc:csv11450;
11451;Dorfmark;dorfmark;8013669;;52.899136;9.771301;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001502;t;;f;;f;;f;;f;;f;8001502;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11451;
11452;Dorfprozelten;dorfprozelten;8022652;;49.779375;9.382158;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001503;t;;f;;f;;f;;f;;f;8001503;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;ドルフプロツェルテン;;;;Дорфпроцельтен;;;多夫普罗采尔滕;urn:trainline:public:nloc:csv11452;
